GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webots-adaptor,at.jku.swe.simcomp.axisconverter,AxisConverterApplication,8,0,0,0,3,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.axisconverter,AxisConverterController,20,0,0,0,6,0,5,0,5,0
webots-adaptor,at.jku.swe.simcomp.axisconverter,OpenApiConfig,9,0,0,0,3,0,2,0,2,0
webots-adaptor,at.jku.swe.simcomp.axisconverter.service,DirectKinematics,35,1120,3,21,4,77,4,18,1,9
webots-adaptor,at.jku.swe.simcomp.axisconverter.service,InverseKinematics,74,226,7,5,11,23,8,4,2,4
