GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webots-drone-adaptor,at.jku.swe.simcomp.webotsdroneadaptor.service,WebotsDroneCommandExecutionVisitor,0,18,0,0,0,5,0,2,0,2
webots-drone-adaptor,at.jku.swe.simcomp.webotsdroneadaptor.service,WebotsDroneExecutionService,40,110,2,4,8,27,5,5,3,4
webots-drone-adaptor,at.jku.swe.simcomp.webotsdroneadaptor.service,WebotsDroneSimulationInstanceService,0,145,1,11,0,31,1,17,0,12
webots-drone-adaptor,at.jku.swe.simcomp.webotsdroneadaptor.service,WebotsDroneAdaptorEndpointService,0,49,0,2,0,11,0,6,0,5
webots-drone-adaptor,at.jku.swe.simcomp.webotsdroneadaptor.service,DroneSessionService,35,230,3,19,9,54,3,23,0,15
webots-drone-adaptor,at.jku.swe.simcomp.webotsdroneadaptor,OpenApiConfig,9,0,0,0,3,0,2,0,2,0
webots-drone-adaptor,at.jku.swe.simcomp.webotsdroneadaptor,WebotsDroneAdapterApplication,8,0,0,0,3,0,2,0,2,0
webots-drone-adaptor,at.jku.swe.simcomp.webotsdroneadaptor.service.command_executors,CustomExecutor,0,21,0,0,0,5,0,3,0,3
webots-drone-adaptor,at.jku.swe.simcomp.webotsdroneadaptor.config,ServiceRegistrationConfig,0,15,0,0,0,7,0,2,0,2
